[2026-03-05 14:30:01] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-06 00:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-06 06:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-06 06:30:01] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-07 00:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-07 06:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-07 19:30:01] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-08 14:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-08 22:30:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-09 00:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-09 06:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-10 00:00:00] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
[2026-03-10 06:00:01] CATCHUP: cron principal não rodou nas últimas 2h, executando agora...
